"trainer/step","MLP_PPO_MP_MP5_10_1_75604150_24_07_30-08_04_01 - _step","MLP_PPO_MP_MP5_10_1_75604150_24_07_30-08_04_01 - _step__MIN","MLP_PPO_MP_MP5_10_1_75604150_24_07_30-08_04_01 - _step__MAX","MLP_PPO_MP_MP5_10_1_75604150_24_07_30-08_04_01 - train/avg_mean_normalized_backlog","MLP_PPO_MP_MP5_10_1_75604150_24_07_30-08_04_01 - train/avg_mean_normalized_backlog__MIN","MLP_PPO_MP_MP5_10_1_75604150_24_07_30-08_04_01 - train/avg_mean_normalized_backlog__MAX","PMN_shared_PPO_MP_MP5_10_1_a2c7b39d_24_07_30-08_03_53 - _step","PMN_shared_PPO_MP_MP5_10_1_a2c7b39d_24_07_30-08_03_53 - _step__MIN","PMN_shared_PPO_MP_MP5_10_1_a2c7b39d_24_07_30-08_03_53 - _step__MAX","PMN_shared_PPO_MP_MP5_10_1_a2c7b39d_24_07_30-08_03_53 - train/avg_mean_normalized_backlog","PMN_shared_PPO_MP_MP5_10_1_a2c7b39d_24_07_30-08_03_53 - train/avg_mean_normalized_backlog__MIN","PMN_shared_PPO_MP_MP5_10_1_a2c7b39d_24_07_30-08_03_53 - train/avg_mean_normalized_backlog__MAX","PMN_shared_PPO_MP_MP5_9_1_e8296219_24_07_29-13_13_05 - _step","PMN_shared_PPO_MP_MP5_9_1_e8296219_24_07_29-13_13_05 - _step__MIN","PMN_shared_PPO_MP_MP5_9_1_e8296219_24_07_29-13_13_05 - _step__MAX","PMN_shared_PPO_MP_MP5_9_1_e8296219_24_07_29-13_13_05 - train/avg_mean_normalized_backlog","PMN_shared_PPO_MP_MP5_9_1_e8296219_24_07_29-13_13_05 - train/avg_mean_normalized_backlog__MIN","PMN_shared_PPO_MP_MP5_9_1_e8296219_24_07_29-13_13_05 - train/avg_mean_normalized_backlog__MAX","MLP_PPO_MP_MP5_9_1_1d552365_24_07_29-13_12_36 - _step","MLP_PPO_MP_MP5_9_1_1d552365_24_07_29-13_12_36 - _step__MIN","MLP_PPO_MP_MP5_9_1_1d552365_24_07_29-13_12_36 - _step__MAX","MLP_PPO_MP_MP5_9_1_1d552365_24_07_29-13_12_36 - train/avg_mean_normalized_backlog","MLP_PPO_MP_MP5_9_1_1d552365_24_07_29-13_12_36 - train/avg_mean_normalized_backlog__MIN","MLP_PPO_MP_MP5_9_1_1d552365_24_07_29-13_12_36 - train/avg_mean_normalized_backlog__MAX","PMN_shared_PPO_MP_MP5_8_1_067f38fe_24_07_29-12_20_58 - _step","PMN_shared_PPO_MP_MP5_8_1_067f38fe_24_07_29-12_20_58 - _step__MIN","PMN_shared_PPO_MP_MP5_8_1_067f38fe_24_07_29-12_20_58 - _step__MAX","PMN_shared_PPO_MP_MP5_8_1_067f38fe_24_07_29-12_20_58 - train/avg_mean_normalized_backlog","PMN_shared_PPO_MP_MP5_8_1_067f38fe_24_07_29-12_20_58 - train/avg_mean_normalized_backlog__MIN","PMN_shared_PPO_MP_MP5_8_1_067f38fe_24_07_29-12_20_58 - train/avg_mean_normalized_backlog__MAX","PMN_shared_PPO_MP_MP5_7_1_ea1882e0_24_07_29-12_19_53 - _step","PMN_shared_PPO_MP_MP5_7_1_ea1882e0_24_07_29-12_19_53 - _step__MIN","PMN_shared_PPO_MP_MP5_7_1_ea1882e0_24_07_29-12_19_53 - _step__MAX","PMN_shared_PPO_MP_MP5_7_1_ea1882e0_24_07_29-12_19_53 - train/avg_mean_normalized_backlog","PMN_shared_PPO_MP_MP5_7_1_ea1882e0_24_07_29-12_19_53 - train/avg_mean_normalized_backlog__MIN","PMN_shared_PPO_MP_MP5_7_1_ea1882e0_24_07_29-12_19_53 - train/avg_mean_normalized_backlog__MAX","MLP_PPO_MP_MP5_8_1_c0f7fc82_24_07_29-11_59_30 - _step","MLP_PPO_MP_MP5_8_1_c0f7fc82_24_07_29-11_59_30 - _step__MIN","MLP_PPO_MP_MP5_8_1_c0f7fc82_24_07_29-11_59_30 - _step__MAX","MLP_PPO_MP_MP5_8_1_c0f7fc82_24_07_29-11_59_30 - train/avg_mean_normalized_backlog","MLP_PPO_MP_MP5_8_1_c0f7fc82_24_07_29-11_59_30 - train/avg_mean_normalized_backlog__MIN","MLP_PPO_MP_MP5_8_1_c0f7fc82_24_07_29-11_59_30 - train/avg_mean_normalized_backlog__MAX","PMN_shared_PPO_MP_MP5_6_1_ed573a2c_24_07_29-11_59_15 - _step","PMN_shared_PPO_MP_MP5_6_1_ed573a2c_24_07_29-11_59_15 - _step__MIN","PMN_shared_PPO_MP_MP5_6_1_ed573a2c_24_07_29-11_59_15 - _step__MAX","PMN_shared_PPO_MP_MP5_6_1_ed573a2c_24_07_29-11_59_15 - train/avg_mean_normalized_backlog","PMN_shared_PPO_MP_MP5_6_1_ed573a2c_24_07_29-11_59_15 - train/avg_mean_normalized_backlog__MIN","PMN_shared_PPO_MP_MP5_6_1_ed573a2c_24_07_29-11_59_15 - train/avg_mean_normalized_backlog__MAX","MLP_PPO_MP_MP5_7_1_580e1c49_24_07_29-11_36_56 - _step","MLP_PPO_MP_MP5_7_1_580e1c49_24_07_29-11_36_56 - _step__MIN","MLP_PPO_MP_MP5_7_1_580e1c49_24_07_29-11_36_56 - _step__MAX","MLP_PPO_MP_MP5_7_1_580e1c49_24_07_29-11_36_56 - train/avg_mean_normalized_backlog","MLP_PPO_MP_MP5_7_1_580e1c49_24_07_29-11_36_56 - train/avg_mean_normalized_backlog__MIN","MLP_PPO_MP_MP5_7_1_580e1c49_24_07_29-11_36_56 - train/avg_mean_normalized_backlog__MAX","MLP_PPO_MP_MP5_6_1_16fdeb79_24_07_29-11_36_23 - _step","MLP_PPO_MP_MP5_6_1_16fdeb79_24_07_29-11_36_23 - _step__MIN","MLP_PPO_MP_MP5_6_1_16fdeb79_24_07_29-11_36_23 - _step__MAX","MLP_PPO_MP_MP5_6_1_16fdeb79_24_07_29-11_36_23 - train/avg_mean_normalized_backlog","MLP_PPO_MP_MP5_6_1_16fdeb79_24_07_29-11_36_23 - train/avg_mean_normalized_backlog__MIN","MLP_PPO_MP_MP5_6_1_16fdeb79_24_07_29-11_36_23 - train/avg_mean_normalized_backlog__MAX"
"2000","2000","2000","2000","6.007284641265869","6.007284641265869","6.007284641265869","2000","2000","2000","0.6897146105766296","0.6897146105766296","0.6897146105766296","2000","2000","2000","0.9580113887786865","0.9580113887786865","0.9580113887786865","2000","2000","2000","1.3443845510482788","1.3443845510482788","1.3443845510482788","2000","2000","2000","0.7204059362411499","0.7204059362411499","0.7204059362411499","2000","2000","2000","0.6459333300590515","0.6459333300590515","0.6459333300590515","2000","2000","2000","23.710813522338867","23.710813522338867","23.710813522338867","2000","2000","2000","0.5729597210884094","0.5729597210884094","0.5729597210884094","2000","2000","2000","11.736209869384766","11.736209869384766","11.736209869384766","2000","2000","2000","18.720294952392578","18.720294952392578","18.720294952392578"
"4000","4000","4000","4000","9.116968154907227","9.116968154907227","9.116968154907227","4000","4000","4000","0.6989561915397644","0.6989561915397644","0.6989561915397644","4000","4000","4000","0.946857750415802","0.946857750415802","0.946857750415802","4000","4000","4000","1.3242582082748413","1.3242582082748413","1.3242582082748413","4000","4000","4000","0.6775893568992615","0.6775893568992615","0.6775893568992615","4000","4000","4000","0.6605778932571411","0.6605778932571411","0.6605778932571411","4000","4000","4000","26.283491134643555","26.283491134643555","26.283491134643555","4000","4000","4000","0.5465760231018066","0.5465760231018066","0.5465760231018066","4000","4000","4000","17.94839859008789","17.94839859008789","17.94839859008789","4000","4000","4000","24.008697509765625","24.008697509765625","24.008697509765625"
"6000","6000","6000","6000","10.535303115844727","10.535303115844727","10.535303115844727","6000","6000","6000","0.6996018886566162","0.6996018886566162","0.6996018886566162","6000","6000","6000","0.937675952911377","0.937675952911377","0.937675952911377","6000","6000","6000","1.2958067655563354","1.2958067655563354","1.2958067655563354","6000","6000","6000","0.6585174202919006","0.6585174202919006","0.6585174202919006","6000","6000","6000","0.6432507634162903","0.6432507634162903","0.6432507634162903","6000","6000","6000","26.018224716186523","26.018224716186523","26.018224716186523","6000","6000","6000","0.5444626212120056","0.5444626212120056","0.5444626212120056","6000","6000","6000","21.731487274169922","21.731487274169922","21.731487274169922","6000","6000","6000","27.083200454711914","27.083200454711914","27.083200454711914"
"8000","8000","8000","8000","18.04627799987793","18.04627799987793","18.04627799987793","8000","8000","8000","0.6947106122970581","0.6947106122970581","0.6947106122970581","8000","8000","8000","0.9691752195358276","0.9691752195358276","0.9691752195358276","8000","8000","8000","1.3032846450805664","1.3032846450805664","1.3032846450805664","8000","8000","8000","0.6495254635810852","0.6495254635810852","0.6495254635810852","8000","8000","8000","0.6338678598403931","0.6338678598403931","0.6338678598403931","8000","8000","8000","27.332626342773438","27.332626342773438","27.332626342773438","8000","8000","8000","0.5420313477516174","0.5420313477516174","0.5420313477516174","8000","8000","8000","21.011268615722656","21.011268615722656","21.011268615722656","8000","8000","8000","26.784820556640625","26.784820556640625","26.784820556640625"
"10000","10000","10000","10000","32.276832580566406","32.276832580566406","32.276832580566406","10000","10000","10000","0.7089492082595825","0.7089492082595825","0.7089492082595825","10000","10000","10000","0.9650806188583374","0.9650806188583374","0.9650806188583374","10000","10000","10000","1.3419725894927979","1.3419725894927979","1.3419725894927979","10000","10000","10000","0.6204274296760559","0.6204274296760559","0.6204274296760559","10000","10000","10000","0.6001620888710022","0.6001620888710022","0.6001620888710022","10000","10000","10000","28.917617797851562","28.917617797851562","28.917617797851562","10000","10000","10000","0.5562673211097717","0.5562673211097717","0.5562673211097717","10000","10000","10000","22.30164909362793","22.30164909362793","22.30164909362793","10000","10000","10000","28.0269832611084","28.0269832611084","28.0269832611084"
"12000","12000","12000","12000","30.00320816040039","30.00320816040039","30.00320816040039","12000","12000","12000","0.6848944425582886","0.6848944425582886","0.6848944425582886","12000","12000","12000","0.9721582531929016","0.9721582531929016","0.9721582531929016","12000","12000","12000","1.3850685358047485","1.3850685358047485","1.3850685358047485","12000","12000","12000","0.6364317536354065","0.6364317536354065","0.6364317536354065","12000","12000","12000","0.6102428436279297","0.6102428436279297","0.6102428436279297","12000","12000","12000","28.610393524169922","28.610393524169922","28.610393524169922","12000","12000","12000","0.5463777184486389","0.5463777184486389","0.5463777184486389","12000","12000","12000","22.638225555419922","22.638225555419922","22.638225555419922","12000","12000","12000","29.144001007080078","29.144001007080078","29.144001007080078"
"14000","14000","14000","14000","17.3482608795166","17.3482608795166","17.3482608795166","14000","14000","14000","0.6913415789604187","0.6913415789604187","0.6913415789604187","14000","14000","14000","0.944476306438446","0.944476306438446","0.944476306438446","14000","14000","14000","1.3226860761642456","1.3226860761642456","1.3226860761642456","14000","14000","14000","0.6479937434196472","0.6479937434196472","0.6479937434196472","14000","14000","14000","0.6263706088066101","0.6263706088066101","0.6263706088066101","14000","14000","14000","27.559146881103516","27.559146881103516","27.559146881103516","14000","14000","14000","0.5238044261932373","0.5238044261932373","0.5238044261932373","14000","14000","14000","21.783679962158203","21.783679962158203","21.783679962158203","14000","14000","14000","28.487871170043945","28.487871170043945","28.487871170043945"
"16000","16000","16000","16000","4.944458484649658","4.944458484649658","4.944458484649658","16000","16000","16000","0.708072304725647","0.708072304725647","0.708072304725647","16000","16000","16000","0.9710759520530701","0.9710759520530701","0.9710759520530701","16000","16000","16000","1.3374114036560059","1.3374114036560059","1.3374114036560059","16000","16000","16000","0.6437683701515198","0.6437683701515198","0.6437683701515198","16000","16000","16000","0.6408985257148743","0.6408985257148743","0.6408985257148743","16000","16000","16000","28.957923889160156","28.957923889160156","28.957923889160156","16000","16000","16000","0.5280107855796814","0.5280107855796814","0.5280107855796814","16000","16000","16000","20.857797622680664","20.857797622680664","20.857797622680664","16000","16000","16000","32.229454040527344","32.229454040527344","32.229454040527344"
"18000","18000","18000","18000","6.384452819824219","6.384452819824219","6.384452819824219","18000","18000","18000","0.7081666588783264","0.7081666588783264","0.7081666588783264","18000","18000","18000","0.9583166241645813","0.9583166241645813","0.9583166241645813","18000","18000","18000","1.3066892623901367","1.3066892623901367","1.3066892623901367","18000","18000","18000","0.6839427947998047","0.6839427947998047","0.6839427947998047","18000","18000","18000","0.6432971358299255","0.6432971358299255","0.6432971358299255","18000","18000","18000","27.520158767700195","27.520158767700195","27.520158767700195","18000","18000","18000","0.543030321598053","0.543030321598053","0.543030321598053","18000","18000","18000","21.265836715698242","21.265836715698242","21.265836715698242","18000","18000","18000","26.64019012451172","26.64019012451172","26.64019012451172"
"20000","20000","20000","20000","9.071727752685547","9.071727752685547","9.071727752685547","20000","20000","20000","0.6868530511856079","0.6868530511856079","0.6868530511856079","20000","20000","20000","0.9500101208686829","0.9500101208686829","0.9500101208686829","20000","20000","20000","1.2594376802444458","1.2594376802444458","1.2594376802444458","20000","20000","20000","0.729198157787323","0.729198157787323","0.729198157787323","20000","20000","20000","0.6235044002532959","0.6235044002532959","0.6235044002532959","20000","20000","20000","25.32355308532715","25.32355308532715","25.32355308532715","20000","20000","20000","0.5594881772994995","0.5594881772994995","0.5594881772994995","20000","20000","20000","23.696949005126953","23.696949005126953","23.696949005126953","20000","20000","20000","31.480606079101562","31.480606079101562","31.480606079101562"
